ID,Name,Description,CLTS_BIPA,CLTS_Name,LAPSYD_Features
u_u0075u0330u0303,ṵ̃,nasalized laryngealized high back rounded,ṵ̃,nasalized creaky rounded close back vowel,nasalized laryngealized high back rounded
n_u006Eu0320,n̠,pulmonic nasal voiced palato-alveolar,n̠,retracted voiced alveolar nasal consonant,pulmonic nasal voiced palato-alveolar
i_u0268,ɨ,high central unrounded,ɨ,unrounded close central vowel,high central unrounded
b_u0062u0330,b̰,pulmonic stop voiced laryngealized bilabial,b̰,creaky voiced bilabial stop consonant,pulmonic stop voiced laryngealized bilabial
hts_u02B0u0074u0320u0283,ʰt̠ʃ,pulmonic affricate sibilant pre-aspirated voiceless palato-alveolar,ʰtʃ,pre-aspirated voiceless post-alveolar sibilant affricate consonant,pulmonic affricate sibilant pre-aspirated voiceless palato-alveolar
a_u0252u0303,ɒ̃,nasalized low back rounded,ɒ̃,nasalized rounded open back vowel,nasalized low back rounded
tch_u0074u0063u0327u02B0,tçʰ,pulmonic affricate aspirated voiceless alveolar palatal,tɕʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant,pulmonic affricate aspirated voiceless alveolar palatal
ui_u0075u0303u0069u0303,ũĩ,nasalized diphtong high front back unrounded rounded fronting unrounding,ũĩ,from nasalized rounded close back to nasalized unrounded close front diphthong,nasalized diphtong high front back unrounded rounded fronting unrounding
ntj_u006Eu0074u02B2,ntʲ,pulmonic stop prenasalized voiceless palatalized alveolar,ⁿtʲ,pre-nasalized palatalized voiceless alveolar stop consonant,pulmonic stop prenasalized voiceless palatalized alveolar
d_u00F0u031E,ð̞,pulmonic approximant voiced dental,ɹ̪,voiced dental approximant consonant,pulmonic approximant voiced dental
aa_u0251u0251u0325,ɑɑ̥,voiceless diphtong low back unrounded,ɑ̥ː,long devoiced unrounded open back vowel,voiceless diphtong low back unrounded
b_u0253,ɓ,implosive stop voiced bilabial,ɓ,voiced bilabial implosive consonant,implosive stop voiced bilabial
tp_u0074u0070,tp,pulmonic stop voiceless bilabial alveolar,tp,voiceless alveolar-and-bilabial stop consonant,pulmonic stop voiceless bilabial alveolar
qw_u0071u02B7u02BC,qʷʼ,ejective stop labialized uvular,qʼʷ,labialized voiceless uvular ejective stop consonant,ejective stop labialized uvular
kph_u006Bu0070u02B0,kpʰ,pulmonic stop aspirated voiceless bilabial velar,kpʰ,aspirated voiceless velar-and-bilabial stop consonant,pulmonic stop aspirated voiceless bilabial velar
mbj_u006Du03B2u02B2,mβʲ,pulmonic fricative prenasalized voiced palatalized bilabial,ⁿβʲ,pre-nasalized palatalized voiced bilabial fricative consonant,pulmonic fricative prenasalized voiced palatalized bilabial
a_u0251,ɑ,low back unrounded,ɑ,unrounded open back vowel,low back unrounded
a_u0061u031F,a̟,low front unrounded,a̟,advanced unrounded open front vowel,low front unrounded
oe_u006Fu0330u0065u0330,o̰ḛ,laryngealized diphtong higher mid front back unrounded rounded fronting unrounding,o̰ḛ,from creaky rounded close-mid back to creaky unrounded close-mid front diphthong,laryngealized diphtong higher mid front back unrounded rounded fronting unrounding
tw_u0074u02B7,tʷ,pulmonic stop voiceless labialized alveolar,tʷ,labialized voiceless alveolar stop consonant,pulmonic stop voiceless labialized alveolar
f_u0066,f,pulmonic fricative voiceless labio-dental,f,voiceless labio-dental fricative consonant,pulmonic fricative voiceless labio-dental
w_u0270u0303,ɰ̃,pulmonic approximant nasalized voiced velar,ɰ̃,nasalized voiced velar approximant consonant,pulmonic approximant nasalized voiced velar
aei_u00E6u0069,æi,diphtong high raised low front unrounded rising,æi,from unrounded near-open front to unrounded close front diphthong,diphtong high raised low front unrounded rising
dj_u0064u032Au02B2,d̪ʲ,pulmonic stop voiced palatalized dental,d̪ʲ,palatalized voiced dental stop consonant,pulmonic stop voiced palatalized dental
oi_u00F8u0069,øi,diphtong high higher mid front unrounded rounded rising unrounding,øi,from rounded close-mid front to unrounded close front diphthong,diphtong high higher mid front unrounded rounded rising unrounding
ngkh_u014Bu006Bu02B0,ŋkʰ,pulmonic stop prenasalized aspirated voiceless velar,ⁿkʰ,pre-nasalized aspirated voiceless velar stop consonant,pulmonic stop prenasalized aspirated voiceless velar
ngw_u014Bu02B7,ŋʷ,pulmonic nasal voiced labialized velar,ŋʷ,labialized voiced velar nasal consonant,pulmonic nasal voiced labialized velar
ch_u0063u02B0,cʰ,pulmonic stop aspirated voiceless palatal,cʰ,aspirated voiceless palatal stop consonant,pulmonic stop aspirated voiceless palatal
w_u026Fu028C,ɯʌ,diphtong high lower mid back unrounded lowering,ɯʌ,from unrounded close back to unrounded open-mid back diphthong,diphtong high lower mid back unrounded lowering
nggw_u014Bu0261u02B7,ŋɡʷ,pulmonic stop prenasalized voiced labialized velar,ⁿgʷ,pre-nasalized labialized voiced velar stop consonant,pulmonic stop prenasalized voiced labialized velar
