ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Glottolog_Name
maxakali_maxa1247,Maxakalí,South America,-16.9402,-40.7891,maxa1247,,Nuclear-Macro-Je,Maxakalí
damana_mala1522,Damana,South America,10.9286,-73.4056,mala1522,,Chibchan,Malayo
maka_maca1260,Maká,South America,-25.0119,-57.3694,maca1260,,Matacoan,Maca
mbum_mbum1254,Mbum,Africa,7.5789,14.2722,mbum1254,,Atlantic-Congo,Mbum
maba_maba1277,Maba,Africa,12.89147,20.8889,maba1277,,Maban,Maba (Chad)
midobkaargedidialect_kaag1238,"Midob, Kaargedi dialect",Africa,,,kaag1238,,Nubian,Kaageddi
mbane_mbaa1245,Mbane,Africa,1.06885,25.143,mbaa1245,,Atlantic-Congo,Mba
madisouthernlokaidialect_loka1255,"Ma'di, Southern (Lokai) dialect",Africa,,,loka1255,,Central Sudanic,Lokai
moghol_mogh1245,Moghol,Eurasia,34.2504,62.2802,mogh1245,,Mongolic-Khitan,Mogholi
mauwake_mauw1238,Mauwake,Papunesia,-4.52416,145.394,mauw1238,,Nuclear Trans New Guinea,Mauwake
mandan_mand1446,Mandan,North America,47.6631,-102.376,mand1446,,Siouan,Mandan
digaro_diga1241,Digaro,Eurasia,28.4993,96.8803,diga1241,,Sino-Tibetan,Tawra
morindonesia_morm1235,Mor (Indonesia),Papunesia,-2.87055,135.95,morm1235,,Austronesian,Mor (Mor Islands)
miamiillinois_miam1252,Miami-Illinois,North America,40.0,-90.0,miam1252,,Algic,Miami
mofugugur_mofu1248,Mofu-Gugur,Africa,10.567,14.0314,mofu1248,,Afro-Asiatic,Mofu-Gudur
mixtecchalcatongowesternalta_sanm1295,"Mixtec, Chalcatongo (Western Alta)",North America,17.046881,-97.622482,sanm1295,,Otomanguean,San Miguel El Grande Mixtec
miskitu_misk1235,Miskitu,North America,15.1576,-84.2942,misk1235,,Misumalpan,Mískito
mangghuerminxedialect_tuuu1240,"Mangghuer, Minxe dialect",Eurasia,36.8177,102.117,tuuu1240,,Mongolic-Khitan,Tu
tabawaikyondialect_east2440,"Taba, Waikyon dialect",Papunesia,0.07337,127.423,east2440,,Austronesian,East Makian
tamambowestern_malo1243,"Tamambo, western",Papunesia,-15.6835,167.16,malo1243,,Austronesian,Tamambo
maltesestandard_malt1254,"Maltese, Standard",Eurasia,35.8884,14.4508,malt1254,,Afro-Asiatic,Maltese
meithei_mani1292,Meithei,Eurasia,24.4409,93.3426,mani1292,,Sino-Tibetan,Manipuri
mansinorthern_mans1258,"Mansi, Northern",Eurasia,64.4118,61.344,mans1258,,Uralic,Northern Mansi
malakmalak_mull1237,Malakmalak,Australia,-13.427,130.664,mull1237,,Northern Daly,Mullukmulluk
mangarrayi_mang1381,Mangarrayi,Australia,-14.8,133.5,mang1381,,Mangarrayi-Maran,Mangarrayi
maung_maun1240,Maung,Australia,-11.66,133.376,maun1240,,Iwaidjan Proper,Mawng
dadibi_dadi1250,Dadibi,Papunesia,-6.65765,144.511,dadi1250,,Teberan,Dadibi
mian_mian1256,Mian,Papunesia,-4.70881,141.523,mian1256,,Nuclear Trans New Guinea,Mian
westmakian_west2600,West Makian,Papunesia,0.45332,127.63,west2600,,North Halmahera,West Makian
maricopa_mari1440,Maricopa,North America,33.5123,-111.749,mari1440,,Cochimi-Yuman,Maricopa
maori_maor1246,Māori,Papunesia,-38.2881,176.541,maor1246,,Austronesian,Maori
unapapua_unaa1239,Una (Papua),Papunesia,-4.69676,140.1,unaa1239,,Nuclear Trans New Guinea,Una
murle_murl1244,Murle,Africa,6.69756,33.988,murl1244,,Surmic,Murle
murrinhpatha_murr1258,Murrinhpatha,Australia,-14.74852,129.70152,murr1258,,Southern Daly,Murriny Patha
kalalagauya_kala1377,Kala Lagau Ya,Australia,-10.6748,142.196,kala1377,,Pama-Nyungan,Kala Lagaw Ya
malgbe_malg1250,Malgbe,Africa,12.5342,14.8475,malg1250,,Afro-Asiatic,Malgbe
madacameroun_mada1293,Mada (Cameroun),Africa,10.8806,14.1142,mada1293,,Afro-Asiatic,Mada (Cameroon)
burmese_nucl1310,Burmese,Eurasia,20.7926,93.9665,nucl1310,,Sino-Tibetan,Burmese
makah_maka1318,Makah,North America,48.3258,-124.616,maka1318,,Wakashan,Makah
piraha_pira1253,Pirahã,South America,-6.77713,-61.8167,pira1253,,,Pirahã
muniche_muni1258,Muniche,South America,-5.7441796,-76.426712,muni1258,,,Muniche
munduruku_mund1330,Mundurukú,South America,-8.41095,-57.691,mund1330,,Tupian,Mundurukú
